Daria Zawiałow,628325,"['polish indie', 'polish pop']"
SMOLIK / KEV FOX,25506,"['polish alternative', 'polish electronica']"
Hey,204953,"['polish alternative rock', 'polish rock']"
Organek,227316,['polish alternative rock']
Piotr Rogucki,78072,"['polish alternative', 'sung poetry']"
Justyna Święs,5857,['polish alternative']
Chilly Gonzales,243510,['neo-classical']
Nosowska,134224,"['polish alternative', 'polish blues', 'polish pop']"
Fismoll,34667,['polish indie']
Ralph Kaminski,201139,"['polish alternative', 'polish pop']"
Domowe Melodie,100998,['polish alternative']
Czesław Śpiewa,68436,['poezja spiewana']
Rebeka,13085,"['polish indie', 'polish synthpop']"
Mikromusic,101864,['polish alternative']
A_GIM,1797,['polish electronica']
Flirtini,17020,['polish alternative']
Artur Rojek,195422,"['polish indie', 'polish pop']"
Misia Furtak,7201,['polish indie']
Bovska,73188,"['polish alternative', 'polish pop']"
Sorry Boys,39395,['polish alternative']
Łąki Łan,52024,['polish alternative']
RYSY,36368,"['polish electronica', 'polish indie']"
Lilly Hates Roses,10757,['polish indie']
Julia Marcell,23696,['polish indie']
BOKKA,47506,"['polish electronica', 'polish indie']"
Lao Che,120755,"['polish alternative rock', 'polish reggae']"
Gaba Kulka,17507,['polish indie']
Marcelina,16065,"['polish alternative', 'polish indie']"
Maria Peszek,75585,"['poezja spiewana', 'polish alternative']"
MYCODA,224,[]
Hipnozja,58,[]
Kostek,214,[]
Paula Biskup,11587,['polish pop']
Piotr Odoszewski,6212,[]
Warsztat Elektryczny,185,[]
Jann,195343,[]
Wiktor Waligóra,5104,['polish pop']
Kajetan Wolas,3342,[]
PROJEKT WOW,1411,[]
Ewa Środoń-Prokulewicz,28,[]
Ewa Środoń Quartet,1,[]
Jasiek Kusek,0,[]
Piotrek Przewoźniak,0,[]
Marcin Chatys,0,[]
Piękno,55,[]
Natalia Szroeder,168588,['polish pop']
Daria Zawiałow,628325,"['polish indie', 'polish pop']"
Zagi,1926,['polish alternative']
Kaśka Sochacka,191553,"['polish alternative', 'polish pop']"
Gośka Chruściel,458,[]
sanah,2881017,['polish pop']
Dawid Podsiadło,2219112,"['polish pop', 'talent show']"
IGNACY,19257,"['polish alternative', 'polish pop']"
Męskie Granie Orkiestra,461194,"['polish alternative rock', 'polish pop']"
Mrozu,281741,['polish pop']
Vito Bambino,208405,"['polish alternative', 'polish pop']"
Rubens,12112,['polish alternative']
Kwiat Jabłoni,453183,"['polish alternative', 'polish pop']"
Ralph Kaminski,201139,"['polish alternative', 'polish pop']"
Sobel,1250738,"['polish hip hop', 'polish trap']"
Piotrek Lewandowski,2880,[]
Tymek,855614,['polish hip hop']
Brodka,237576,"['crank wave', 'polish indie', 'polish pop']"
Urbanski,6226,['polish electronica']
Męskie Granie Orkiestra 2018,210951,['polish pop']
Kortez,498782,['polish pop']
Krzysztof Zalewski,255479,"['polish alternative rock', 'polish pop']"
Artur Rojek,195422,"['polish indie', 'polish pop']"
Bibobit,1706,[]
A_GIM,1797,['polish electronica']
BARANOVSKI,138599,['polish pop']
asthma,9747,['polish alternative rap']
Nolyrics Beats,3687,[]
ATLVNTA,2022,['polish alternative']
Ania Leon,5249,['polish alternative']
Bitamina,150210,"['polish alternative', 'polish indie']"
Flirtini,17020,['polish alternative']
BOKKA,47506,"['polish electronica', 'polish indie']"
Fisz Emade Tworzywo,119947,"['polish alternative', 'polish jazz']"
Justyna Święs,5857,['polish alternative']
Chilly Gonzales,243510,['neo-classical']
Fismoll,34667,['polish indie']
CatchUp,51083,"['polish alternative rap', 'polish hip hop']"
Michał Anioł,9032,[]
Frank Leen,5854,[]
Igo,61851,"['polish alternative', 'polish pop']"
Błażej Król,45790,"['polish alternative', 'polish indie']"
KARAŚ/ROGUCKI,35022,['polish alternative']
Jakub Skorupa,8025,['polish alternative']
Julia Wieniawa,85912,['polish pop']
Kamil Hussein,1850,['polish alternative']
Kuba Karaś,2782,['polish alternative']
B.R.O,140883,['polish hip hop']
Sylwia Grzeszczak,541327,['polish pop']
sanah,2881017,['polish pop']
Wiktor Dyduła,23064,['polish pop']
Jonatan,37120,['polish hip hop']
Bletka,88263,"['polish pop', 'polish viral pop']"
Gibbs,616744,['polish hip hop']
Męskie Granie Orkiestra,461194,"['polish alternative rock', 'polish pop']"
Daria Zawiałow,628325,"['polish indie', 'polish pop']"
Mrozu,281741,['polish pop']
Kacperczyk,138486,['polish hip hop']
Oskar Cyms,61572,['polish pop']
Doda,177841,['polish pop']
Smolasty,789492,"['polish hip hop', 'polish pop', 'polish trap']"
MODELKI,79746,['polish viral pop']
Vłodarski,11494,['polish viral pop']
Kaśka Sochacka,191553,"['polish alternative', 'polish pop']"
Lanberry,162492,['polish pop']
Paula Biskup,11587,['polish pop']
Piotr Odoszewski,6212,[]
Skolim,232059,['polish viral pop']
Cleo,266525,['polish pop']
4Money,9674,['polish hip hop']
cosmos,7572,[]
Vixen,46877,['smutny rap']
Margaret,272244,['polish pop']
Deemz,179808,"['polish hip hop', 'polish trap']"
bambi,442271,"['polish hip hop', 'polish viral pop']"
Kizo,1398440,"['polish hip hop', 'polish trap']"
Young Leosia,541288,"['polish hip hop', 'polish pop']"
Waima,86592,['polish hip hop']
Mezo,36484,['polish pop']
Tabb,3713,['polish pop']
Kasia Wilk,19873,['polish pop']
WERSOW,236167,"['polish pop', 'polish viral pop']"
Tribbs,166439,"['polish pop', 'polish viral pop']"
Kamil Bednarek,172779,"['polish pop', 'polish reggae']"
Jula,55715,['polish pop']
Kasia Cerekwicka,49018,['polish pop']
Kleks,89367,"['polish pop', 'polish viral pop']"
Carla Fernandes,14413,['polish pop']
Marcin Czerwiński,12648,['polish pop']
Kwiat Jabłoni,453183,"['polish alternative', 'polish pop']"
Taco Hemingway,1657059,"['polish hip hop', 'polish trap']"
WIKTOR,2465,[]
Jakub Laszuk,3053,[]
Filip Leon,1379,[]
Robert Wiewióra,2778,[]
Agnieszka Chylińska,154784,['polish pop']
Dawid Kwiatkowski,404056,['polish pop']
BARANOVSKI,138599,['polish pop']
Sarsa,204811,['polish pop']
MODELKI,79746,['polish viral pop']
Vłodarski,11494,['polish viral pop']
Deemz,179808,"['polish hip hop', 'polish trap']"
bambi,442271,"['polish hip hop', 'polish viral pop']"
Kizo,1398440,"['polish hip hop', 'polish trap']"
Young Leosia,541288,"['polish hip hop', 'polish pop']"
Waima,86592,['polish hip hop']
Gibbs,616744,['polish hip hop']
4Money,9674,['polish hip hop']
Paula Biskup,11587,['polish pop']
Piotr Odoszewski,6212,[]
sanah,2881017,['polish pop']
Łobuzy,82306,['classic disco polo']
Lanberry,162492,['polish pop']
Tribbs,166439,"['polish pop', 'polish viral pop']"
Daria Zawiałow,628325,"['polish indie', 'polish pop']"
Taco Hemingway,1657059,"['polish hip hop', 'polish trap']"
Sylwia Grzeszczak,541327,['polish pop']
bryska,268519,"['polish pop', 'polish viral pop']"
cosmos,7572,[]
Sobel,1250738,"['polish hip hop', 'polish trap']"
Tilt,20871,"['polish punk', 'polish rock']"
Vixen,46877,['smutny rap']
Lil Tjay,9806789,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']"
EMO,41776,[]
Maryla Rodowicz,102430,"['classic polish pop', 'polish pop', 'sung poetry']"
Mrozu,281741,['polish pop']
Janek Górka,3602,[]
Józefina,1313,[]
SKUBAS,34833,['polish indie']
Tatiana Okupnik,2172,[]
Marcin Sójka,11907,['polish pop']
Oskar Cyms,61572,['polish pop']
Kwiat Jabłoni,453183,"['polish alternative', 'polish pop']"
Viki Gabor,175860,"['polish pop', 'polish viral pop']"
Kayah,76984,['polish pop']
BARANOVSKI,138599,['polish pop']
Dawid Podsiadło,2219112,"['polish pop', 'talent show']"
Monika Lewczuk,46152,['polish pop']
Zbigniew Wodecki,171274,['classic polish pop']
WERSOW,236167,"['polish pop', 'polish viral pop']"
Margaret,272244,['polish pop']
Kaśka Sochacka,191553,"['polish alternative', 'polish pop']"
Dawid Kwiatkowski,404056,['polish pop']
majtis,8935,[]
Alien BSC,1108,[]
samunowak,777,[]
Smolasty,789492,"['polish hip hop', 'polish pop', 'polish trap']"
WIKTOR,2465,[]
kuqe 2115,79377,['polish hip hop']
francis,26237,['polish hip hop']
Zalia,19848,['polish alternative']
Sylwia Grzeszczak,541327,['polish pop']
Skolim,232059,['polish viral pop']
sanah,2881017,['polish pop']
MODELKI,79746,['polish viral pop']
Vłodarski,11494,['polish viral pop']
Kizo,1398440,"['polish hip hop', 'polish trap']"
Bletka,88263,"['polish pop', 'polish viral pop']"
BeMelo,13855,['polish hip hop']
GENZIE,528375,"['polish viral pop', 'polish viral rap']"
Smolasty,789492,"['polish hip hop', 'polish pop', 'polish trap']"
Doda,177841,['polish pop']
Filip Leon,1379,[]
WIKTOR,2465,[]
Lanberry,162492,['polish pop']
Tribbs,166439,"['polish pop', 'polish viral pop']"
Cleo,266525,['polish pop']
Gibbs,616744,['polish hip hop']
Jonatan,37120,['polish hip hop']
4Money,9674,['polish hip hop']
Dawid Narożny,19012,"['classic disco polo', 'disco polo']"
Agbe,19137,['polish viral pop']
bambi,442271,"['polish hip hop', 'polish viral pop']"
Young Leosia,541288,"['polish hip hop', 'polish pop']"
PG$,79324,['polish hip hop']
@atutowy,30977,['polish hip hop']
DAWN,586,[]
ALMA,5672,['bulgarian pop']
Daria Zawiałow,628325,"['polish indie', 'polish pop']"
Marcin Czerwiński,12648,['polish pop']
TKM,110005,"['polish hip hop', 'smutny rap']"
Kubańczyk,204173,['polish hip hop']
Matt Palmer,6716,[]
cosmos,7572,[]
clearmind,5895,['polish viral pop']
papablessbeatz,32,[]
Męskie Granie Orkiestra,461194,"['polish alternative rock', 'polish pop']"
Igo,61851,"['polish alternative', 'polish pop']"
Mrozu,281741,['polish pop']
Vito Bambino,208405,"['polish alternative', 'polish pop']"
Dr. SWAG,75239,['disco polo']
Kubi Producent,267970,"['polish hip hop', 'polish trap']"
Fukaj,187280,['polish hip hop']
stickxr,34401,"['polish viral pop', 'polish viral rap']"
Robert Wiewióra,2778,[]
CrackHouse,7103,['polish viral pop']
Hellfield,13018,['polish hip hop']
Divix,1901,[]
Kiełas,17831,[]
MIRA,171229,['romanian pop']
Kaśka Sochacka,191553,"['polish alternative', 'polish pop']"
Sobel,1250738,"['polish hip hop', 'polish trap']"
Kleks,89367,"['polish pop', 'polish viral pop']"
Szpaku,890627,['polish hip hop']
Agnieszka Chylińska,154784,['polish pop']
Łobuzy,82306,['classic disco polo']
Klaudia Zielińska,14701,['classic disco polo']
Kwiat Jabłoni,453183,"['polish alternative', 'polish pop']"
Cyrko,49352,"['polish pop', 'polish viral pop', 'polish viral rap']"
D3W,3564,[]
Dawid Podsiadło,2219112,"['polish pop', 'talent show']"
Taco Hemingway,1657059,"['polish hip hop', 'polish trap']"
Malik Montana,1244920,"['polish drill', 'polish hip hop', 'polish trap']"
Kubi Producent,267970,"['polish hip hop', 'polish trap']"
bambi,442271,"['polish hip hop', 'polish viral pop']"
Fukaj,187280,['polish hip hop']
stickxr,34401,"['polish viral pop', 'polish viral rap']"
MODELKI,79746,['polish viral pop']
Vłodarski,11494,['polish viral pop']
Young Leosia,541288,"['polish hip hop', 'polish pop']"
PG$,79324,['polish hip hop']
francis,26237,['polish hip hop']
Kizo,1398440,"['polish hip hop', 'polish trap']"
Bletka,88263,"['polish pop', 'polish viral pop']"
clearmind,5895,['polish viral pop']
papablessbeatz,32,[]
Szpaku,890627,['polish hip hop']
Deemz,179808,"['polish hip hop', 'polish trap']"
Oki,988341,['polish hip hop']
Sobel,1250738,"['polish hip hop', 'polish trap']"
@atutowy,30977,['polish hip hop']
Young Multi,684743,"['polish hip hop', 'polish trap']"
Lucassi,1001,[]
Waima,86592,['polish hip hop']
Guzior,529332,['polish hip hop']
Jacuś,113707,['polish hip hop']
YARSKI,1044,[]
Mata,2071000,"['polish hip hop', 'polish trap']"
BeMelo,13855,['polish hip hop']
Eryk Moczko,45485,['polish viral pop']
MIÜ,39220,['polish viral pop']
Bedoes 2115,1594860,"['polish hip hop', 'polish trap']"
Jonatan,37120,['polish hip hop']
Gibbs,616744,['polish hip hop']
Kaz Bałagane,325442,"['polish hip hop', 'polish trap']"
Oskar83,25075,['polish hip hop']
Kize,1264,[]
White 2115,1360716,"['polish hip hop', 'polish trap']"
Kronkel Dom,73992,['polish hip hop']
Chivas,404466,"['polish hip hop', 'polish trap']"
młody klakson,25727,"['polish hip hop', 'polish viral rap']"
Mig,51472,['classic disco polo']
kuqe 2115,79377,['polish hip hop']
Otsochodzi,562286,"['polish hip hop', 'polish trap']"
Taco Hemingway,1657059,"['polish hip hop', 'polish trap']"
lohleq,7796,['polish hip hop']
Malik Montana,1244920,"['polish drill', 'polish hip hop', 'polish trap']"
Geenaro & Ghana Beats,6079,[]
bvdy47,4565,[]
Roxie,93555,"['polish pop', 'polish viral pop']"
vkie,145504,"['polish hip hop', 'polish trap']"
Gmeniu,2289,['polish underground rap']
730 Huncho,20422,['polish drill']
Kazior,39685,"['polish hip hop', 'rap uliczny']"
Zeamsone,355326,"['polish hip hop', 'polish trap']"
Qry,405727,"['polish hip hop', 'polish trap']"
OG ENZO,74903,['polish drill']
SVM!R,52711,[]
Kusha,973,[]
Suwal,968,[]
Męskie Granie Orkiestra,461194,"['polish alternative rock', 'polish pop']"
Daria Zawiałow,628325,"['polish indie', 'polish pop']"
Dawid Podsiadło,2219112,"['polish pop', 'talent show']"
Vito Bambino,208405,"['polish alternative', 'polish pop']"
sanah,2881017,['polish pop']
Sarsa,204811,['polish pop']
Julia Wieniawa,85912,['polish pop']
Kwiat Jabłoni,453183,"['polish alternative', 'polish pop']"
Lanberry,162492,['polish pop']
Kortez,498782,['polish pop']
Błażej Król,45790,"['polish alternative', 'polish indie']"
Igo,61851,"['polish alternative', 'polish pop']"
Natalia Zastępa,12487,['polish pop']
Arek Kłusowski,9749,"['poezja spiewana', 'polish alternative']"
Anieli,3010,['polish alternative']
Nosowska,134224,"['polish alternative', 'polish blues', 'polish pop']"
T.Love,225260,"['polish reggae', 'polish rock']"
Kasia Sienkiewicz,806,[]
Julia Pietrucha,73893,['polish alternative']
Oskar Cyms,61572,['polish pop']
Zakopower,22913,"['koledy', 'polish pop']"
Agnieszka Chylińska,154784,['polish pop']
Marie,37280,['polish pop']
