Skylar Grey; The Pinkprint (Deluxe)
2 Chainz; Tattoos
Travis Scott; Grateful
Cheat Codes; Brighter Days
Iggy Azalea; The New Classic
Yo Gotti; Heartbreak on a Full Moon
Prince Fox; HAIZ
Young Thug; Beautiful Thugger Girls
Jason Derulo; Get Weird (Deluxe)
Santigold; Major Lazer Essentials
Zion & Lennox; La Player (Bandolera)
Evan Roman; The Heist
MAX; Brighter Days
Silentó; This Is A Challenge
Ray Dalton; The Heist
Pharrell Williams; DS2 (Deluxe)
T.I.; ARTPOP
Ellie Goulding; Lights
Rita Ora; The New Classic
Kehlani; Invasion of Privacy
Rihanna; Grateful
Detail; Nothing Was The Same (Deluxe)
Avicii; True
Dawin; This Is A Challenge
Florida Georgia Line; Expectations
Migos; Culture II
DJ Taj; This Is A Challenge
Zendaya; Something New
Nicki Minaj; Ciara
BloodPop®; Friends (with BloodPop®)
Kent Jones; Plata O Plomo
Styles P; ALL-AMERIKKKAN BADA$$
Future; Red Pill Blues (Deluxe)
Jay Rock; King's Dead (with Kendrick Lamar, Future & James Blake)
Starlito; Harder Than Ever
Twenty One Pilots; Trench
Joey Bada$$; ALL-AMERIKKKAN BADA$$
Yo Gotti; Grateful
Travis Scott; Major Lazer Essentials
Migos; No Label II
Gucci Mane; JEFFERY
Jhené Aiko; Heartbreak on a Full Moon
Drake; Scorpion
Sam Smith; The Thrill Of It All (Special Edition)
HRVY; Brighter Days
DJ Chose; This Is A Challenge
SZA; Invasion of Privacy
Young Dolph; This Is A Challenge
Kent Jones; Brighter Days
Nicki Minaj; The Pinkprint (Deluxe)
Meghan Trainor; Brighter Days
J Balvin; Invasion of Privacy
Jermaine Dupri; No Label II
Travis Scott; JEFFERY
Ed Sheeran; ÷ (Deluxe)
Good Times Ahead; Major Lazer Essentials
Snakehips; Don't Leave
DeJ Loaf; Heartbreak on a Full Moon
Fat Joe; Grateful
Anne-Marie; Speak Your Mind (Deluxe)
Flux Pavilion; Major Lazer Essentials
Ruelle; Perception
Wale; No Hard Feelings
R. Kelly; ARTPOP
Tinashe; Glory (Deluxe Version)
French Montana; Plata O Plomo
Gucci Mane; Heartbreak on a Full Moon
Big Sean; Grateful
Bebe Rexha; Expectations
Flo Rida; This Is A Challenge
Wyclef Jean; JEFFERY
DeJ Loaf; No Fear
Ariana Grande; Major Lazer Essentials
Wild Belle; Major Lazer Essentials
Young Thug; JEFFERY
Wizkid; Major Lazer Essentials
Lauren Jauregui; Beach House 3
V.I.C.; This Is A Challenge
ScHoolboy Q; The Heist
Justin Bieber; Friends (with BloodPop®)
Ariana Grande; The Pinkprint (Deluxe)
Gucci Mane; No Hard Feelings
Ty Dolla $ign; Heartbreak on a Full Moon
French Montana; No Shopping
21 Savage; Invasion of Privacy
Ricky Blaze; Major Lazer Essentials
B.o.B; Doo-Wops & Hooligans
Hozier; Hozier: Deluxe Edition
Gwen Stefani; V
Alicia Keys; Grateful
Tory Lanez; Expectations
Calvin Harris; Grateful
Burna Boy; Major Lazer Essentials
Babes Wodumo; Major Lazer Essentials
Nile Rodgers; Brighter Days
Lil Wayne; The Pinkprint (Deluxe)
Nause; Dynamite (feat. Pretty Sister)
Astrid S; Party's Over
Selena Gomez; Wolves
Ty Dolla $ign; Culture II
Millie Go Lightly; Beautiful Thugger Girls
Lil Wayne; Beach House 3
Jake Gosling; Major Lazer Essentials
Mystic; Major Lazer Essentials
Kingston; Plata O Plomo
